Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 40290 connected to 192.168.3.2 port 10021
[  6]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   1.61 MBytes       
[  6]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0   1.75 MBytes       
[  6]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   1.88 MBytes       
[  6]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   2.02 MBytes       
[  6]  15.00-16.00  sec  42.0 MBytes   352 Mbits/sec    0   2.15 MBytes       
[  6]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   2.43 MBytes       
[  6]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   2.82 MBytes       
[  6]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   3.27 MBytes       
[  6]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   3.78 MBytes       
[  6]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0   4.31 MBytes       
[  6]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   4.88 MBytes       
[  6]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0   5.55 MBytes       
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec   63   5.29 MBytes       
[  6]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec  493   3.97 MBytes       
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec  131   4.08 MBytes       
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   4.09 MBytes       
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   4.43 MBytes       
[  6]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    8   3.87 MBytes       
[  6]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    8   3.14 MBytes       
[  6]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    6   3.13 MBytes       
[  6]  32.00-33.00  sec  44.4 MBytes   372 Mbits/sec    0   2.84 MBytes       
[  6]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0   2.20 MBytes       
[  6]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   44   1.67 MBytes       
[  6]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    3   1.28 MBytes       
[  6]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    2    790 KBytes       
[  6]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    6    577 KBytes       
[  6]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   86    290 KBytes       
[  6]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec  114   50.6 KBytes       
[  6]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec   23   1.41 KBytes       
[  6]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    9   23.9 KBytes       
[  6]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    2   23.9 KBytes       
[  6]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    3   19.7 KBytes       
[  6]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    2   15.5 KBytes       
[  6]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    2   14.1 KBytes       
[  6]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
