rlcThroughputDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250830-13:43:36-16472),
1.028,1428482.490272399966
1.028,1429934.824902699791
1.029,1429996.112730799703
1.029,1431447.035957199982
1.03,1431506.796116499691
1.031,1431566.440349199806
1.031,1433014.548981599972
1.032,1433072.674418599806
1.033,1433130.68731849966
1.033,1434575.9922555997
1.034,1434632.495164399962
1.034,1436076.402321099765
1.035,1436131.400966200043
1.036,1436186.293436300006
1.036,1437627.413127399977
1.037,1437680.810028899922
1.037,1439120.540019299831
1.038,1439172.447013499677
1.039,1439224.25409050006
1.039,1440661.212704499713
1.04,1440711.538461499843
1.04,1442147.115384599653
1.041,1442195.965417899652
1.042,1442244.721689099907
1.042,1443677.543186199847
1.043,1443724.832214799707
1.043,1445156.279961599965
1.044,1445202.107279699757
1.045,1445247.846889999693
1.045,1446676.555023899762
1.046,1446720.841300199735
1.046,1448148.18355639977
1.047,1448191.021967499977
1.048,1448233.778626000038
1.048,1449658.396946599702
1.049,1449699.714013299902
1.05,1449740.952380999921
1.05,1451162.857142899647
1.051,1451202.664129399691
1.051,1452623.215984799896
1.052,1452661.596958199976
1.053,1452699.905033200043
1.053,1454117.758784399828
1.054,1454154.648956399872
1.054,1455571.157495299815
1.055,1455606.635071099732
1.056,1455642.045454499775
1.056,1457055.871212099676
1.057,1457089.877010399937
1.057,1458502.365184499877
1.058,1458534.971644599918
1.059,1458567.516524999863
1.059,1459977.337110499847
1.06,1460008.490565999872
1.06,1461416.981132099866
1.061,1461446.748350599776
1.062,1461476.459510399956
1.062,1462882.297551800026
1.063,1462910.630291599776
1.063,1464315.145813699808
1.064,1464342.105263199652
1.065,1464369.014084499791
1.065,1465770.892018799666
1.066,1465796.435271999795
1.066,1467196.998123799913
1.067,1467221.180880999653
1.068,1467245.31835209997
1.068,1468643.25842699967
1.069,1468666.043030899946
1.07,1468688.785046699918
1.07,1470084.11214949982
1.071,1470105.508870199785
1.071,1471499.53314659977
1.072,1471519.589552199928
1.073,1471539.608574099835
1.073,1472931.034482799932
1.074,1472949.720670399718
1.074,1474339.851024199738
1.075,1474357.209302299652
1.076,1474374.535315999757
1.076,1475762.081784399688
