SduBuffer:vector ExtClientServerExample.gnb.cellularNic.rlc.UmTxEntity Lcid: 1 (#0 - test-0-20250824-22:30:48-60671),
0.7428302508,7
0.743,6
0.743,5
0.7437247938,6
0.744,5
0.744,4
0.7442685598,5
0.7446192608,6
0.7449399408,7
0.745,6
0.7455048058,7
0.7458681718,8
0.746,7
0.746,6
0.7463972268,7
0.7467477498,8
0.747,7
0.747,6
0.7472832358,7
0.7476332718,8
0.7479649348,9
0.748,8
0.7485213578,9
0.7488788268,10
0.749,9
0.749,8
0.75,7
0.751,6
0.751,5
0.7514847778,6
0.7518809098,7
0.752,6
0.752,5
0.7524068868,6
0.7527612478,7
0.753,6
0.7533008048,7
0.7536595758,8
0.7539867868,9
0.754,8
0.754,7
0.755,6
0.755,5
0.7552558308,6
0.7557626178,7
0.756,6
0.757,5
0.757,4
0.7573572338,5
0.758,4
0.758,3
0.7584344288,4
0.7589773758,5
0.759,4
0.7597426608,5
0.76,4
0.76,3
0.761,2
0.761,1
0.762,0
0.7637657008,1
0.764,0
0.7646289448,1
0.765,0
0.7657158128,1
0.766,0
0.7662759538,1
0.7666412988,2
0.7669716878,3
0.767,2
0.7674524308,3
0.7678097688,4
0.768,3
0.768,2
0.7683200578,3
0.7686774208,4
0.769,3
0.7692034328,4
0.7695482298,5
0.7698685098,6
0.77,5
0.77,4
0.7703787868,5
0.7707184868,6
0.771,5
0.771,4
0.772,3
0.7722844498,4
0.7726619808,5
0.773,4
0.773,3
0.7732000038,4
0.7735469968,5
0.7739131028,6
0.774,5
0.774,4
0.7744466538,5
0.7748085078,6
0.775,5
0.7753253558,6
0.7756655438,7
0.7759846728,8
0.776,7
0.776,6
0.7767753658,7
0.777,6
0.777,5
0.7773147528,6
0.7776541588,7
0.7779695038,8
0.778,7
0.7785098268,8
0.7788541408,9
0.779,8
0.779,7
0.7793878728,8
0.7797378728,9
0.78,8
0.78,7
0.7802673658,8
0.7806171748,9
0.7809446378,10
0.781,9
0.7814741948,10
0.7818158758,11
0.782,10
0.782,9
0.783,8
0.783,7
0.7839239768,8
0.784,7
0.7844937318,8
0.7848607298,9
0.785,8
0.785,7
0.7853903348,8
0.7857446378,9
0.786,8
0.7862516618,9
0.7865905598,10
0.7869089128,11
0.787,10
0.787,9
0.7878231168,10
0.788,9
0.788,8
0.7883596178,9
0.7887114908,10
0.789,9
0.7892778508,10
0.7896340758,11
0.7899658448,12
0.79,11
0.79,10
0.7904822988,11
0.7908621328,12
0.791,11
0.791,10
0.7913994448,11
0.7917471318,12
0.792,11
0.7922956188,12
0.7926487518,13
0.7929841058,14
0.793,13
0.793,12
0.794,11
0.794,10
0.795,9
0.7957488978,10
0.796,9
0.796,8
0.7962845728,9
0.7966339508,10
0.7969543768,11
0.797,10
0.797,9
0.7974803488,10
0.7978213758,11
0.798,10
0.7986296078,11
0.7989705628,12
0.799,11
0.799,10
0.7994683028,11
0.7998180478,12
0.8,11
0.8,10
0.8003672938,11
0.8007109258,12
0.801,11
0.8012575158,12
0.8015991228,13
0.8019155128,14
0.802,13
0.802,12
0.8024544628,13
0.8028106748,14
0.803,13
0.8033570048,14
0.8036994818,15
0.804,14
0.804,13
0.805,12
0.805,11
0.806,10
0.8064901718,11
0.8068661308,12
0.807,11
0.807,10
0.8073780098,11
0.8077243148,12
0.808,11
0.808,10
0.8082992838,11
0.8086592078,12
0.8089979968,13
0.809,12
0.8099576918,13
0.81,12
0.81,11
0.8104812078,12
0.8108212248,13
0.811,12
0.811,11
0.8113576478,12
0.8116961508,13
0.812,12
0.8122179638,13
0.8125664178,14
0.8128880058,15
0.813,14
0.813,13
0.8133918458,14
0.8137348698,15
0.8139931778,16
0.814,15
0.814,14
0.8144602328,15
0.8147963058,16
0.815,15
0.816,14
0.816,13
0.817,12
0.817,11
0.8172850528,12
0.8176516608,13
0.8179777058,14
0.818,13
0.8184874278,14
0.8188362658,15
0.819,14
0.819,13
0.8193397598,14
0.8196825248,15
0.82,14
0.82,13
0.8206610058,14
0.821,13
0.8212330818,14
0.8215883628,15
0.8219151908,16
0.822,15
0.822,14
0.8224384138,15
0.8227925928,16
0.823,15
0.8233281568,16
0.8236726928,17
0.8239927788,18
0.824,17
0.824,16
0.8244467838,17
0.8247845558,18
0.825,17
0.825,16
0.8253362198,17
0.8256794728,18
0.8259369748,19
0.826,18
0.827,17
0.827,16
0.828,15
0.828,14
0.8284085548,15
0.8287774808,16
0.829,15
0.8293103628,16
0.8296777738,17
0.83,16
0.83,15
0.8301808048,16
0.8305380848,17
0.8308673298,18
0.831,17
0.831,16
0.8317815358,17
0.832,16
0.8323228988,17
0.8326630038,18
0.8329859308,19
0.833,18
0.833,17
0.8335088308,18
0.8338648648,19
0.834,18
0.834,17
0.8344035708,18
0.8347466798,19
0.835,18
0.8352662678,19
0.8356199438,20
0.8359369898,21
0.836,20
0.836,19
0.8363909338,20
0.8367328848,21
0.837,20
0.837,19
0.8370001318,20
0.838,19
0.839,18
0.839,17
0.8392720128,18
0.8396303438,19
0.8399511548,20
0.84,19
0.8404630898,20
0.8408068918,21
0.841,20
0.841,19
0.8413449488,20
0.8416928278,21
0.842,20
0.842,19
0.8425747468,20
0.8429326768,21
0.843,20
0.8434957838,21
0.8438483058,22
0.844,21
0.844,20
0.8443784668,21
0.8447191098,22
0.845,21
0.845,20
0.8452615178,21
0.846,20
0.8467360788,21
0.847,20
0.847,19
0.8476764798,20
0.848,19
0.848,18
0.849,17
0.85,16
0.85,15
0.851,14
0.851,13
0.852,12
0.853,11
0.853,10
0.854,9
0.854,8
0.8547696738,9
0.855,8
0.8558928938,9
0.856,8
0.856,7
0.8564257898,8
0.8567690758,9
0.857,8
0.857,7
0.8572872688,8
0.8576326678,9
0.8579514598,10
0.858,9
0.8584879478,10
0.8588269858,11
0.859,10
0.859,9
0.86,8
0.8609875898,9
0.861,8
0.861,7
0.8615704148,8
0.8619204458,9
0.862,8
0.862,7
0.8624126168,8
0.8627563758,9
0.863,8
0.8632631338,9
0.8636023008,10
0.8639199588,11
0.864,10
0.864,9
0.8647285298,10
0.865,9
0.865,8
0.8652940178,9
0.8656435588,10
0.8659633958,11
0.866,10
0.8665040818,11
0.8668467788,12
0.867,11
0.867,10
0.8673564998,11
0.8677113168,12
0.868,11
0.868,10
